Day,RKM483,RKM479,RKM474,RKM454
117,2,0,0,0
123,2,0,0,0
126,1,0,0,0
132,4,0,0,0
138,2,0,0,0
141,6,1,0,0
144,3,2,0,0
147,7,-0,0,0
150,7,1,0,0
153,7,2,0,0
156,3,2,0,0
159,9,3,0,0
162,19,2,0,0
165,15,2,0,0
168,31,8,0,0
171,17,4,0,0
174,21,8,0,0
177,35,6,0,0
180,23,8,0,0
183,32,12,0,0
186,36,10,0,0
189,32,7,0,0
192,32,16,0,0
195,23,8,0,0
198,22,1,0,0
201,15,14,0,0
204,17,7,0,0
207,13,5,0,0
210,12,7,0,0
213,3,7,0,0
216,8,1,0,0
219,2,-0,0,0
222,1,3,0,0
225,3,2,0,0
228,1,-0,0,0
231,-0,1,0,0
234,2,-0,0,0
