Date,Section,SumOfCOunt
05/04/2022,1,1
05/10/2022,1,2
05/13/2022,1,1
05/19/2022,1,3
05/21/2022,3,1
05/25/2022,1,2
05/28/2022,1,5
05/28/2022,2,1
05/31/2022,1,3
05/31/2022,2,2
06/03/2022,1,6
06/06/2022,1,6
06/06/2022,2,1
06/08/2022,3,1
06/09/2022,1,6
06/09/2022,2,2
06/12/2022,1,3
06/12/2022,2,3
06/14/2022,3,1
06/15/2022,1,8
06/15/2022,2,3
06/18/2022,1,16
06/18/2022,2,2
06/21/2022,1,13
06/21/2022,2,3
06/23/2022,3,1
06/24/2022,1,27
06/24/2022,2,9
06/26/2022,3,2
06/27/2022,1,15
06/27/2022,2,4
06/30/2022,1,18
06/30/2022,2,9
07/02/2022,3,1
07/03/2022,1,30
07/03/2022,2,7
07/05/2022,3,1
07/06/2022,1,20
07/06/2022,2,10
07/08/2022,3,1
07/09/2022,1,28
07/09/2022,2,13
07/11/2022,3,2
07/12/2022,1,31
07/12/2022,2,12
07/14/2022,3,2
07/15/2022,1,28
07/15/2022,2,8
07/17/2022,3,1
07/18/2022,1,28
07/18/2022,2,18
07/21/2022,1,20
07/21/2022,2,9
07/23/2022,3,3
07/24/2022,1,19
07/24/2022,2,2
07/26/2022,3,3
07/27/2022,1,13
07/27/2022,2,15
07/29/2022,3,1
07/30/2022,1,15
07/30/2022,2,8
08/02/2022,1,11
08/02/2022,2,6
08/04/2022,3,4
08/05/2022,1,10
08/05/2022,2,8
08/08/2022,1,3
08/08/2022,2,8
08/10/2022,3,1
08/11/2022,1,7
08/11/2022,2,1
08/14/2022,1,2
08/14/2022,2,1
08/17/2022,1,1
08/17/2022,2,3
08/19/2022,3,1
08/20/2022,1,2
08/20/2022,2,2
08/23/2022,1,1
08/26/2022,2,1
08/29/2022,1,2
