Day,section,sum
124,1,1
130,1,2
133,1,1
139,1,3
141,3,1
145,1,2
148,1,5
148,2,1
151,1,3
151,2,2
154,1,6
157,1,6
157,2,1
159,3,1
160,1,6
160,2,2
163,1,3
163,2,3
165,3,1
166,1,8
166,2,3
169,1,16
169,2,2
172,1,13
172,2,3
174,3,1
175,1,27
175,2,9
177,3,2
178,1,15
178,2,4
181,1,18
181,2,9
183,3,1
184,1,30
184,2,7
186,3,1
187,1,20
187,2,10
189,3,1
190,1,28
190,2,13
192,3,2
193,1,31
193,2,12
195,3,2
196,1,28
196,2,8
198,3,1
199,1,28
199,2,18
202,1,20
202,2,9
204,3,3
205,1,19
205,2,2
207,3,3
208,1,13
208,2,15
210,3,1
211,1,15
211,2,8
214,1,11
214,2,6
216,3,4
217,1,10
217,2,8
220,1,3
220,2,8
222,3,1
223,1,7
223,2,1
226,1,2
226,2,1
229,1,1
229,2,3
231,3,1
232,1,2
232,2,2
235,1,1
238,2,1
241,1,2
